,city,v_w,t2m,blh,sp,tcc,tp,inversion_0/1,PM10,PM25,NO2,CO,month,year,day,hour,day_of_week
40,LD,2.335196179131083,277.47852,199.62968,99788.25,0.86990356,9.536743e-07,1,22.0,19.3347,17.6,,January,2023,11,00:00:00,Wednesday
41,LD,2.7802239981720738,275.36255,120.095856,99666.81,0.875885,0.0,1,33.0,28.3338,31.3,,January,2023,11,06:00:00,Wednesday
42,LD,5.916747484456857,278.1975,642.07886,99427.81,1.0,0.0,1,17.0,14.3451,14.2,0.332,January,2023,11,12:00:00,Wednesday
43,LD,5.081865703496649,276.55176,412.18677,99170.81,1.0,1.4305115e-06,1,21.0,18.3546,26.2,0.534,January,2023,11,18:00:00,Wednesday
44,LD,4.334880182026802,277.8689,340.3811,99212.31,1.0,0.0006914139,1,18.0,15.4143,15.1,0.383,January,2023,12,00:00:00,Thursday
45,LD,4.089589766431622,278.86914,384.57324,99346.5,0.9919739,4.7683716e-07,1,18.0,14.3451,11.9,0.33,January,2023,12,06:00:00,Thursday
46,LD,4.987607828539068,281.31274,568.13696,99235.375,0.05090332,0.0,1,9.0,7.3953,8.0,0.322,January,2023,12,12:00:00,Thursday
47,LD,6.045719307408932,279.15845,689.02124,99051.19,0.45791626,2.3841858e-06,1,8.0,6.4152,13.3,0.335,January,2023,12,18:00:00,Thursday
48,LD,5.657266577238959,279.68384,555.8484,98937.75,1.0,4.7683716e-07,1,7.0,6.4152,8.2,0.313,January,2023,13,00:00:00,Friday
49,LD,6.132511595146092,279.7556,624.2864,98759.5,1.0,0.00017929077,1,4.0,3.4749,8.8,0.313,January,2023,13,06:00:00,Friday
50,LD,5.106320435196057,281.48096,612.95703,98725.31,0.98443604,1.1444092e-05,1,4.0,3.4749,11.3,0.314,January,2023,13,12:00:00,Friday
51,LD,5.010489880079691,280.70142,517.5947,98815.625,1.0,0.0002040863,1,6.0,4.455,13.5,0.375,January,2023,13,18:00:00,Friday
52,LD,5.046545184834723,278.43823,535.52124,99092.25,0.65927124,0.0,1,13.0,11.4048,11.6,0.364,January,2023,14,00:00:00,Saturday
53,LD,4.654262832391554,277.42578,487.90186,99345.5,0.09591675,0.0,1,4.0,3.4749,6.0,0.275,January,2023,14,06:00:00,Saturday
54,LD,4.795425843596695,280.8191,1097.4968,99456.375,0.7983093,6.67572e-06,1,6.0,5.4351,9.5,0.297,January,2023,14,12:00:00,Saturday
55,LD,5.931041794900618,277.84033,600.9016,99198.56,1.0,0.0,1,13.0,11.4048,15.1,0.52,January,2023,14,18:00:00,Saturday
56,LD,8.291281789594667,279.07715,869.1211,98610.125,0.9840088,0.0,1,8.0,6.4152,6.8,0.332,January,2023,15,00:00:00,Sunday
57,LD,8.69610298258418,280.46704,944.98755,98150.19,1.0,5.1498413e-05,1,6.0,4.455,5.2,0.296,January,2023,15,06:00:00,Sunday
58,LD,7.958048973396498,278.50684,746.71704,97985.75,1.0,0.0004339218,1,4.0,3.4749,3.3,0.316,January,2023,15,12:00:00,Sunday
59,LD,4.689522769872931,277.85962,743.2134,98213.69,1.0,0.00011873245,1,8.0,7.3953,6.4,0.34,January,2023,15,18:00:00,Sunday
60,LD,4.6238537386512055,276.6914,584.9717,98274.94,0.7041626,0.0,1,8.0,6.4152,5.4,0.343,January,2023,16,00:00:00,Monday
61,LD,3.958858644516206,273.51855,232.1016,98172.81,1.0,0.0,1,3.0,2.4948,6.7,0.336,January,2023,16,06:00:00,Monday
62,LD,3.5024031236697653,277.73682,381.85986,97759.875,0.3671875,0.0,1,17.0,14.3451,26.7,0.516,January,2023,16,12:00:00,Monday
63,LD,4.60621284168945,275.82275,519.7649,97309.875,1.0,0.0,1,15.0,13.365,18.8,0.615,January,2023,16,18:00:00,Monday
64,LD,3.7510849512508364,275.68042,341.8015,96720.81,1.0,8.106232e-05,1,14.0,12.3849,8.4,0.503,January,2023,17,00:00:00,Tuesday
65,LD,5.578290961403581,274.79468,634.82056,96632.06,1.0,0.0,1,12.0,10.4247,11.3,0.415,January,2023,17,06:00:00,Tuesday
66,LD,4.445151835977958,278.6765,816.0271,96785.75,0.24395752,0.0,1,7.0,5.4351,11.1,0.356,January,2023,17,12:00:00,Tuesday
67,LD,2.6535316727215923,275.8164,137.19138,97030.125,0.23693848,0.0,1,12.0,9.4446,23.4,1.033,January,2023,17,18:00:00,Tuesday
68,LD,2.0769279542471963,272.48926,60.737213,97083.31,1.0,0.0,1,30.0,26.2845,29.3,0.654,January,2023,18,00:00:00,Wednesday
69,LD,4.7085512946354315,274.1875,466.9812,96787.56,1.0,0.00010108948,1,13.0,12.3849,11.6,0.401,January,2023,18,06:00:00,Wednesday
70,LD,3.0067206804631095,273.86987,214.46725,96802.375,1.0,0.00028324127,1,12.0,11.4048,14.6,0.529,January,2023,18,12:00:00,Wednesday
71,LD,3.8339321517341958,273.99536,362.1416,97490.625,1.0,7.200241e-05,1,21.0,19.3347,27.6,0.529,January,2023,18,18:00:00,Wednesday
72,LD,2.1400670090426894,274.69824,173.23817,98053.5,0.9458008,1.9073486e-06,1,23.0,20.3148,16.7,0.512,January,2023,19,00:00:00,Thursday
73,LD,1.0465288707014309,272.71826,41.060806,98258.0,1.0,0.0,1,30.0,26.2845,27.6,0.654,January,2023,19,06:00:00,Thursday
74,LD,1.461509632056994,274.72656,306.10693,98317.81,1.0,4.4345856e-05,1,31.0,23.3442,21.8,0.503,January,2023,19,12:00:00,Thursday
75,LD,2.6856819426154486,274.07495,296.41504,98435.31,1.0,1.04904175e-05,1,24.0,21.384,21.4,0.507,January,2023,19,18:00:00,Thursday
76,LD,3.145937367431083,273.23145,329.75024,98732.56,1.0,6.389618e-05,1,29.0,25.3044,18.8,0.446,January,2023,20,00:00:00,Friday
77,LD,2.0496611883073936,271.65723,132.18372,99032.5,0.9180603,2.861023e-06,1,23.0,20.3148,24.0,0.36,January,2023,20,06:00:00,Friday
78,LD,2.3221267386770887,273.15552,318.79395,99304.31,1.0,9.536743e-07,1,22.0,19.3347,21.7,0.541,January,2023,20,12:00:00,Friday
79,LD,4.72713626667142,273.27368,662.959,99475.125,1.0,7.8201294e-05,1,29.0,25.3044,16.5,0.608,January,2023,20,18:00:00,Friday
80,LD,5.7565383246255815,272.60474,804.6499,99393.19,1.0,0.00014686584,1,12.0,10.4247,4.7,0.343,January,2023,21,00:00:00,Saturday
81,LD,7.006149799917273,272.7234,933.4153,99237.75,1.0,0.0007996559,1,5.0,4.455,3.3,0.274,January,2023,21,06:00:00,Saturday
82,LD,4.241640764982255,273.5193,500.59277,99270.75,1.0,0.0006008148,1,3.0,2.4948,7.0,0.466,January,2023,21,12:00:00,Saturday
83,LD,3.475968794273001,274.23633,415.60645,99752.31,0.9786072,1.1920929e-05,1,11.0,9.4446,18.8,0.675,January,2023,21,18:00:00,Saturday
84,LD,2.9922841956377155,274.3462,242.82823,100188.06,1.0,6.055832e-05,1,20.0,17.3745,13.4,0.593,January,2023,22,00:00:00,Sunday
85,LD,4.0799036056640405,273.865,363.3628,100344.31,1.0,3.0994415e-06,1,18.0,12.3849,11.9,0.484,January,2023,22,06:00:00,Sunday
86,LD,3.9096400078356894,274.0547,431.1692,100549.125,1.0,1.4781952e-05,1,16.0,12.3849,8.1,0.541,January,2023,22,12:00:00,Sunday
87,LD,4.361515431395181,273.90234,440.79663,100812.625,0.9960022,0.000108242035,1,23.0,20.3148,14.0,0.525,January,2023,22,18:00:00,Sunday
88,LD,2.2858969953184176,273.61548,261.89844,101029.375,1.0,1.6212463e-05,1,22.0,16.3944,10.8,0.441,January,2023,23,00:00:00,Monday
89,LD,3.0250764832640944,273.38086,294.0603,101226.69,1.0,5.38826e-05,0,20.0,14.3451,13.9,0.553,January,2023,23,06:00:00,Monday
90,LD,3.1478486222921487,274.03906,320.98242,101373.94,1.0,3.8146973e-06,0,18.0,13.365,15.2,0.663,January,2023,23,12:00:00,Monday
91,LD,3.117347471221245,274.0503,316.5498,101452.0,0.9864197,3.8146973e-06,0,30.0,21.384,20.6,0.78,January,2023,23,18:00:00,Monday
92,LD,2.8017197210487295,274.083,220.20308,101519.31,1.0,1.4305115e-05,1,30.0,23.3442,16.3,0.544,January,2023,24,00:00:00,Tuesday
93,LD,2.4104815843893457,274.15942,179.71973,101523.375,1.0,1.9073486e-05,1,28.0,19.3347,14.2,0.591,January,2023,24,06:00:00,Tuesday
94,LD,2.038006743852458,274.98486,224.12933,101592.19,1.0,6.67572e-06,1,25.0,21.384,13.8,0.749,January,2023,24,12:00:00,Tuesday
95,LD,1.9212805568720148,274.5735,200.16171,101540.31,0.98913574,8.583069e-06,1,39.0,26.2845,17.4,0.818,January,2023,24,18:00:00,Tuesday
96,LD,1.3083479934433082,273.7815,109.22952,101417.31,1.0,4.529953e-05,1,27.0,24.3243,14.1,0.535,January,2023,25,00:00:00,Wednesday
97,LD,1.1055804095593609,272.98096,140.26175,101185.94,0.99557495,1.7642975e-05,1,10.0,9.4446,11.1,0.353,January,2023,25,06:00:00,Wednesday
98,LD,1.8272862912158703,272.67334,392.18384,100916.375,1.0,9.536743e-07,1,10.0,9.4446,12.7,0.33,January,2023,25,12:00:00,Wednesday
99,LD,1.0530647709747598,272.98413,217.21002,100501.56,0.93640137,9.536743e-07,1,17.0,14.3451,17.3,0.379,January,2023,25,18:00:00,Wednesday
100,LD,1.3874202602435433,273.12598,109.2153,100188.125,0.8253784,9.059906e-06,1,15.0,13.365,6.6,0.382,January,2023,26,00:00:00,Thursday
101,LD,1.7805453182064774,273.10327,190.20276,99934.81,0.90026855,5.2452087e-06,1,28.0,24.3243,27.2,0.473,January,2023,26,06:00:00,Thursday
102,LD,1.936070292060355,272.9685,429.17847,99800.94,1.0,2.3841858e-05,1,18.0,16.3944,12.2,0.424,January,2023,26,12:00:00,Thursday
103,LD,1.0702942885944,272.9065,215.3144,99733.69,1.0,9.059906e-05,1,23.0,20.3148,18.7,0.505,January,2023,26,18:00:00,Thursday
104,LD,0.9739187144751879,272.49194,120.0759,99707.31,0.98028564,1.335144e-05,1,21.0,18.3546,13.8,0.425,January,2023,27,00:00:00,Friday
105,LD,1.3397467131819627,272.5056,139.80554,99755.5,0.71939087,7.43866e-05,1,29.0,26.2845,12.2,0.482,January,2023,27,06:00:00,Friday
106,LD,3.05089093444338,273.52368,656.5679,99885.0,0.98672485,1.1920929e-05,1,19.0,16.3944,17.2,0.631,January,2023,27,12:00:00,Friday
107,LD,3.063035364248144,272.76807,465.0327,99966.25,0.9685974,1.9550323e-05,1,27.0,24.3243,20.5,0.696,January,2023,27,18:00:00,Friday
108,LD,2.7056518740167093,272.83936,455.66235,100035.31,0.989563,5.8174133e-05,1,17.0,15.4143,11.8,0.503,January,2023,28,00:00:00,Saturday
109,LD,2.425798353812237,272.5652,323.0598,100069.875,0.99557495,2.861023e-05,1,16.0,13.365,7.2,0.402,January,2023,28,06:00:00,Saturday
