,time,isobaricInhPa,latitude,longitude,number,step,valid_time,t
0,2021-01-01 00:00:00,1000.0,52.5,17.0,0,0 days,2021-01-01 00:00:00,272.07275
1,2021-01-01 00:00:00,925.0,52.5,17.0,0,0 days,2021-01-01 00:00:00,272.81152
2,2021-01-01 06:00:00,1000.0,52.5,17.0,0,0 days,2021-01-01 06:00:00,270.65967
3,2021-01-01 06:00:00,925.0,52.5,17.0,0,0 days,2021-01-01 06:00:00,273.99268
4,2021-01-01 12:00:00,1000.0,52.5,17.0,0,0 days,2021-01-01 12:00:00,271.5088
5,2021-01-01 12:00:00,925.0,52.5,17.0,0,0 days,2021-01-01 12:00:00,272.74536
6,2021-01-01 18:00:00,1000.0,52.5,17.0,0,0 days,2021-01-01 18:00:00,273.27295
7,2021-01-01 18:00:00,925.0,52.5,17.0,0,0 days,2021-01-01 18:00:00,271.33813
8,2021-01-02 00:00:00,1000.0,52.5,17.0,0,0 days,2021-01-02 00:00:00,273.73926
9,2021-01-02 00:00:00,925.0,52.5,17.0,0,0 days,2021-01-02 00:00:00,271.2998
10,2021-01-02 06:00:00,1000.0,52.5,17.0,0,0 days,2021-01-02 06:00:00,273.01367
11,2021-01-02 06:00:00,925.0,52.5,17.0,0,0 days,2021-01-02 06:00:00,271.42236
12,2021-01-02 12:00:00,1000.0,52.5,17.0,0,0 days,2021-01-02 12:00:00,273.71753
13,2021-01-02 12:00:00,925.0,52.5,17.0,0,0 days,2021-01-02 12:00:00,271.3811
14,2021-01-02 18:00:00,1000.0,52.5,17.0,0,0 days,2021-01-02 18:00:00,272.68677
15,2021-01-02 18:00:00,925.0,52.5,17.0,0,0 days,2021-01-02 18:00:00,271.8816
16,2021-01-03 00:00:00,1000.0,52.5,17.0,0,0 days,2021-01-03 00:00:00,272.26343
17,2021-01-03 00:00:00,925.0,52.5,17.0,0,0 days,2021-01-03 00:00:00,273.8213
18,2021-01-03 06:00:00,1000.0,52.5,17.0,0,0 days,2021-01-03 06:00:00,273.0835
19,2021-01-03 06:00:00,925.0,52.5,17.0,0,0 days,2021-01-03 06:00:00,274.29028
20,2021-01-03 12:00:00,1000.0,52.5,17.0,0,0 days,2021-01-03 12:00:00,273.23486
21,2021-01-03 12:00:00,925.0,52.5,17.0,0,0 days,2021-01-03 12:00:00,273.51758
22,2021-01-03 18:00:00,1000.0,52.5,17.0,0,0 days,2021-01-03 18:00:00,273.90723
23,2021-01-03 18:00:00,925.0,52.5,17.0,0,0 days,2021-01-03 18:00:00,271.88892
24,2021-01-04 00:00:00,1000.0,52.5,17.0,0,0 days,2021-01-04 00:00:00,273.22363
