,time,step,latitude,longitude,number,surface,valid_time,tp
47,2022-01-02 06:00:00,0 days 12:00:00,52.5,17.0,0,0.0,2022-01-02 18:00:00,0.0003838539
48,2022-01-02 18:00:00,0 days 01:00:00,52.5,17.0,0,0.0,2022-01-02 19:00:00,4.7683716e-06
49,2022-01-02 18:00:00,0 days 02:00:00,52.5,17.0,0,0.0,2022-01-02 20:00:00,0.0
50,2022-01-02 18:00:00,0 days 03:00:00,52.5,17.0,0,0.0,2022-01-02 21:00:00,4.7683716e-07
51,2022-01-02 18:00:00,0 days 04:00:00,52.5,17.0,0,0.0,2022-01-02 22:00:00,6.198883e-06
52,2022-01-02 18:00:00,0 days 05:00:00,52.5,17.0,0,0.0,2022-01-02 23:00:00,2.002716e-05
53,2022-01-02 18:00:00,0 days 06:00:00,52.5,17.0,0,0.0,2022-01-03 00:00:00,1.335144e-05
54,2022-01-02 18:00:00,0 days 07:00:00,52.5,17.0,0,0.0,2022-01-03 01:00:00,3.8146973e-06
55,2022-01-02 18:00:00,0 days 08:00:00,52.5,17.0,0,0.0,2022-01-03 02:00:00,1.9073486e-06
56,2022-01-02 18:00:00,0 days 09:00:00,52.5,17.0,0,0.0,2022-01-03 03:00:00,5.5789948e-05
57,2022-01-02 18:00:00,0 days 10:00:00,52.5,17.0,0,0.0,2022-01-03 04:00:00,0.00060129166
58,2022-01-02 18:00:00,0 days 11:00:00,52.5,17.0,0,0.0,2022-01-03 05:00:00,0.001095295
59,2022-01-02 18:00:00,0 days 12:00:00,52.5,17.0,0,0.0,2022-01-03 06:00:00,0.0011401176
60,2022-01-03 06:00:00,0 days 01:00:00,52.5,17.0,0,0.0,2022-01-03 07:00:00,0.0004415512
61,2022-01-03 06:00:00,0 days 02:00:00,52.5,17.0,0,0.0,2022-01-03 08:00:00,0.00034809113
62,2022-01-03 06:00:00,0 days 03:00:00,52.5,17.0,0,0.0,2022-01-03 09:00:00,0.0006351471
63,2022-01-03 06:00:00,0 days 04:00:00,52.5,17.0,0,0.0,2022-01-03 10:00:00,0.00094747543
64,2022-01-03 06:00:00,0 days 05:00:00,52.5,17.0,0,0.0,2022-01-03 11:00:00,0.00049495697
65,2022-01-03 06:00:00,0 days 06:00:00,52.5,17.0,0,0.0,2022-01-03 12:00:00,0.00018978119
66,2022-01-03 06:00:00,0 days 07:00:00,52.5,17.0,0,0.0,2022-01-03 13:00:00,6.866455e-05
67,2022-01-03 06:00:00,0 days 08:00:00,52.5,17.0,0,0.0,2022-01-03 14:00:00,3.71933e-05
68,2022-01-03 06:00:00,0 days 09:00:00,52.5,17.0,0,0.0,2022-01-03 15:00:00,5.531311e-05
69,2022-01-03 06:00:00,0 days 10:00:00,52.5,17.0,0,0.0,2022-01-03 16:00:00,4.386902e-05
70,2022-01-03 06:00:00,0 days 11:00:00,52.5,17.0,0,0.0,2022-01-03 17:00:00,6.198883e-05
71,2022-01-03 06:00:00,0 days 12:00:00,52.5,17.0,0,0.0,2022-01-03 18:00:00,5.5789948e-05
72,2022-01-03 18:00:00,0 days 01:00:00,52.5,17.0,0,0.0,2022-01-03 19:00:00,4.6253204e-05
73,2022-01-03 18:00:00,0 days 02:00:00,52.5,17.0,0,0.0,2022-01-03 20:00:00,7.6293945e-06
74,2022-01-03 18:00:00,0 days 03:00:00,52.5,17.0,0,0.0,2022-01-03 21:00:00,4.2915344e-06
75,2022-01-03 18:00:00,0 days 04:00:00,52.5,17.0,0,0.0,2022-01-03 22:00:00,4.005432e-05
76,2022-01-03 18:00:00,0 days 05:00:00,52.5,17.0,0,0.0,2022-01-03 23:00:00,1.0967255e-05
77,2022-01-03 18:00:00,0 days 06:00:00,52.5,17.0,0,0.0,2022-01-04 00:00:00,6.198883e-06
78,2022-01-03 18:00:00,0 days 07:00:00,52.5,17.0,0,0.0,2022-01-04 01:00:00,1.9073486e-06
79,2022-01-03 18:00:00,0 days 08:00:00,52.5,17.0,0,0.0,2022-01-04 02:00:00,0.0
80,2022-01-03 18:00:00,0 days 09:00:00,52.5,17.0,0,0.0,2022-01-04 03:00:00,0.0
81,2022-01-03 18:00:00,0 days 10:00:00,52.5,17.0,0,0.0,2022-01-04 04:00:00,0.0
82,2022-01-03 18:00:00,0 days 11:00:00,52.5,17.0,0,0.0,2022-01-04 05:00:00,1.4305115e-06
83,2022-01-03 18:00:00,0 days 12:00:00,52.5,17.0,0,0.0,2022-01-04 06:00:00,1.2874603e-05
84,2022-01-04 06:00:00,0 days 01:00:00,52.5,17.0,0,0.0,2022-01-04 07:00:00,5.2452087e-06
85,2022-01-04 06:00:00,0 days 02:00:00,52.5,17.0,0,0.0,2022-01-04 08:00:00,1.1444092e-05
86,2022-01-04 06:00:00,0 days 03:00:00,52.5,17.0,0,0.0,2022-01-04 09:00:00,2.861023e-05
87,2022-01-04 06:00:00,0 days 04:00:00,52.5,17.0,0,0.0,2022-01-04 10:00:00,0.0001001358
88,2022-01-04 06:00:00,0 days 05:00:00,52.5,17.0,0,0.0,2022-01-04 11:00:00,0.0002541542
89,2022-01-04 06:00:00,0 days 06:00:00,52.5,17.0,0,0.0,2022-01-04 12:00:00,0.0002951622
90,2022-01-04 06:00:00,0 days 07:00:00,52.5,17.0,0,0.0,2022-01-04 13:00:00,0.0004529953
91,2022-01-04 06:00:00,0 days 08:00:00,52.5,17.0,0,0.0,2022-01-04 14:00:00,0.0006351471
92,2022-01-04 06:00:00,0 days 09:00:00,52.5,17.0,0,0.0,2022-01-04 15:00:00,0.0007247925
93,2022-01-04 06:00:00,0 days 10:00:00,52.5,17.0,0,0.0,2022-01-04 16:00:00,0.00064468384
94,2022-01-04 06:00:00,0 days 11:00:00,52.5,17.0,0,0.0,2022-01-04 17:00:00,0.00049591064
95,2022-01-04 06:00:00,0 days 12:00:00,52.5,17.0,0,0.0,2022-01-04 18:00:00,0.00031471252
96,2022-01-04 18:00:00,0 days 01:00:00,52.5,17.0,0,0.0,2022-01-04 19:00:00,0.00026798248
97,2022-01-04 18:00:00,0 days 02:00:00,52.5,17.0,0,0.0,2022-01-04 20:00:00,0.00010681152
98,2022-01-04 18:00:00,0 days 03:00:00,52.5,17.0,0,0.0,2022-01-04 21:00:00,4.9591064e-05
