,time,step,latitude,longitude,number,surface,valid_time,tp
0,2003-12-31 18:00:00,0 days 01:00:00,51.75,19.5,0,0.0,2003-12-31 19:00:00,
1,2003-12-31 18:00:00,0 days 02:00:00,51.75,19.5,0,0.0,2003-12-31 20:00:00,
2,2003-12-31 18:00:00,0 days 03:00:00,51.75,19.5,0,0.0,2003-12-31 21:00:00,
3,2003-12-31 18:00:00,0 days 04:00:00,51.75,19.5,0,0.0,2003-12-31 22:00:00,
4,2003-12-31 18:00:00,0 days 05:00:00,51.75,19.5,0,0.0,2003-12-31 23:00:00,
5,2003-12-31 18:00:00,0 days 06:00:00,51.75,19.5,0,0.0,2004-01-01 00:00:00,8.010864e-05
6,2003-12-31 18:00:00,0 days 07:00:00,51.75,19.5,0,0.0,2004-01-01 01:00:00,8.34465e-05
7,2003-12-31 18:00:00,0 days 08:00:00,51.75,19.5,0,0.0,2004-01-01 02:00:00,6.246567e-05
8,2003-12-31 18:00:00,0 days 09:00:00,51.75,19.5,0,0.0,2004-01-01 03:00:00,4.720688e-05
9,2003-12-31 18:00:00,0 days 10:00:00,51.75,19.5,0,0.0,2004-01-01 04:00:00,3.9577484e-05
10,2003-12-31 18:00:00,0 days 11:00:00,51.75,19.5,0,0.0,2004-01-01 05:00:00,1.5258789e-05
11,2003-12-31 18:00:00,0 days 12:00:00,51.75,19.5,0,0.0,2004-01-01 06:00:00,1.5258789e-05
12,2004-01-01 06:00:00,0 days 01:00:00,51.75,19.5,0,0.0,2004-01-01 07:00:00,3.6239624e-05
13,2004-01-01 06:00:00,0 days 02:00:00,51.75,19.5,0,0.0,2004-01-01 08:00:00,2.670288e-05
14,2004-01-01 06:00:00,0 days 03:00:00,51.75,19.5,0,0.0,2004-01-01 09:00:00,2.1457672e-05
15,2004-01-01 06:00:00,0 days 04:00:00,51.75,19.5,0,0.0,2004-01-01 10:00:00,1.9550323e-05
16,2004-01-01 06:00:00,0 days 05:00:00,51.75,19.5,0,0.0,2004-01-01 11:00:00,2.193451e-05
17,2004-01-01 06:00:00,0 days 06:00:00,51.75,19.5,0,0.0,2004-01-01 12:00:00,6.4373016e-05
18,2004-01-01 06:00:00,0 days 07:00:00,51.75,19.5,0,0.0,2004-01-01 13:00:00,2.2888184e-05
19,2004-01-01 06:00:00,0 days 08:00:00,51.75,19.5,0,0.0,2004-01-01 14:00:00,6.67572e-06
20,2004-01-01 06:00:00,0 days 09:00:00,51.75,19.5,0,0.0,2004-01-01 15:00:00,3.8146973e-06
21,2004-01-01 06:00:00,0 days 10:00:00,51.75,19.5,0,0.0,2004-01-01 16:00:00,6.198883e-06
22,2004-01-01 06:00:00,0 days 11:00:00,51.75,19.5,0,0.0,2004-01-01 17:00:00,9.059906e-06
23,2004-01-01 06:00:00,0 days 12:00:00,51.75,19.5,0,0.0,2004-01-01 18:00:00,1.5258789e-05
24,2004-01-01 18:00:00,0 days 01:00:00,51.75,19.5,0,0.0,2004-01-01 19:00:00,8.583069e-06
25,2004-01-01 18:00:00,0 days 02:00:00,51.75,19.5,0,0.0,2004-01-01 20:00:00,9.059906e-06
26,2004-01-01 18:00:00,0 days 03:00:00,51.75,19.5,0,0.0,2004-01-01 21:00:00,1.7166138e-05
27,2004-01-01 18:00:00,0 days 04:00:00,51.75,19.5,0,0.0,2004-01-01 22:00:00,4.196167e-05
28,2004-01-01 18:00:00,0 days 05:00:00,51.75,19.5,0,0.0,2004-01-01 23:00:00,7.534027e-05
29,2004-01-01 18:00:00,0 days 06:00:00,51.75,19.5,0,0.0,2004-01-02 00:00:00,7.4863434e-05
30,2004-01-01 18:00:00,0 days 07:00:00,51.75,19.5,0,0.0,2004-01-02 01:00:00,7.6293945e-05
31,2004-01-01 18:00:00,0 days 08:00:00,51.75,19.5,0,0.0,2004-01-02 02:00:00,8.916855e-05
32,2004-01-01 18:00:00,0 days 09:00:00,51.75,19.5,0,0.0,2004-01-02 03:00:00,9.4890594e-05
33,2004-01-01 18:00:00,0 days 10:00:00,51.75,19.5,0,0.0,2004-01-02 04:00:00,6.1035156e-05
34,2004-01-01 18:00:00,0 days 11:00:00,51.75,19.5,0,0.0,2004-01-02 05:00:00,3.0040741e-05
35,2004-01-01 18:00:00,0 days 12:00:00,51.75,19.5,0,0.0,2004-01-02 06:00:00,2.2411346e-05
36,2004-01-02 06:00:00,0 days 01:00:00,51.75,19.5,0,0.0,2004-01-02 07:00:00,3.9100647e-05
37,2004-01-02 06:00:00,0 days 02:00:00,51.75,19.5,0,0.0,2004-01-02 08:00:00,4.196167e-05
38,2004-01-02 06:00:00,0 days 03:00:00,51.75,19.5,0,0.0,2004-01-02 09:00:00,7.724762e-05
39,2004-01-02 06:00:00,0 days 04:00:00,51.75,19.5,0,0.0,2004-01-02 10:00:00,7.534027e-05
40,2004-01-02 06:00:00,0 days 05:00:00,51.75,19.5,0,0.0,2004-01-02 11:00:00,5.531311e-05
41,2004-01-02 06:00:00,0 days 06:00:00,51.75,19.5,0,0.0,2004-01-02 12:00:00,5.6743622e-05
42,2004-01-02 06:00:00,0 days 07:00:00,51.75,19.5,0,0.0,2004-01-02 13:00:00,4.6253204e-05
43,2004-01-02 06:00:00,0 days 08:00:00,51.75,19.5,0,0.0,2004-01-02 14:00:00,2.4795532e-05
44,2004-01-02 06:00:00,0 days 09:00:00,51.75,19.5,0,0.0,2004-01-02 15:00:00,2.7656555e-05
45,2004-01-02 06:00:00,0 days 10:00:00,51.75,19.5,0,0.0,2004-01-02 16:00:00,3.6239624e-05
46,2004-01-02 06:00:00,0 days 11:00:00,51.75,19.5,0,0.0,2004-01-02 17:00:00,3.33786e-05
47,2004-01-02 06:00:00,0 days 12:00:00,51.75,19.5,0,0.0,2004-01-02 18:00:00,2.8133392e-05
48,2004-01-02 18:00:00,0 days 01:00:00,51.75,19.5,0,0.0,2004-01-02 19:00:00,2.7179718e-05
49,2004-01-02 18:00:00,0 days 02:00:00,51.75,19.5,0,0.0,2004-01-02 20:00:00,2.6226044e-05
50,2004-01-02 18:00:00,0 days 03:00:00,51.75,19.5,0,0.0,2004-01-02 21:00:00,2.9087067e-05
51,2004-01-02 18:00:00,0 days 04:00:00,51.75,19.5,0,0.0,2004-01-02 22:00:00,2.9563904e-05
52,2004-01-02 18:00:00,0 days 05:00:00,51.75,19.5,0,0.0,2004-01-02 23:00:00,2.7179718e-05
53,2004-01-02 18:00:00,0 days 06:00:00,51.75,19.5,0,0.0,2004-01-03 00:00:00,1.5258789e-05
54,2004-01-02 18:00:00,0 days 07:00:00,51.75,19.5,0,0.0,2004-01-03 01:00:00,1.3828278e-05
55,2004-01-02 18:00:00,0 days 08:00:00,51.75,19.5,0,0.0,2004-01-03 02:00:00,1.5258789e-05
56,2004-01-02 18:00:00,0 days 09:00:00,51.75,19.5,0,0.0,2004-01-03 03:00:00,1.5258789e-05
57,2004-01-02 18:00:00,0 days 10:00:00,51.75,19.5,0,0.0,2004-01-03 04:00:00,1.2397766e-05
58,2004-01-02 18:00:00,0 days 11:00:00,51.75,19.5,0,0.0,2004-01-03 05:00:00,1.0967255e-05
59,2004-01-02 18:00:00,0 days 12:00:00,51.75,19.5,0,0.0,2004-01-03 06:00:00,1.2874603e-05
60,2004-01-03 06:00:00,0 days 01:00:00,51.75,19.5,0,0.0,2004-01-03 07:00:00,3.2901764e-05
61,2004-01-03 06:00:00,0 days 02:00:00,51.75,19.5,0,0.0,2004-01-03 08:00:00,1.9073486e-05
62,2004-01-03 06:00:00,0 days 03:00:00,51.75,19.5,0,0.0,2004-01-03 09:00:00,1.7642975e-05
63,2004-01-03 06:00:00,0 days 04:00:00,51.75,19.5,0,0.0,2004-01-03 10:00:00,2.193451e-05
64,2004-01-03 06:00:00,0 days 05:00:00,51.75,19.5,0,0.0,2004-01-03 11:00:00,2.0503998e-05
65,2004-01-03 06:00:00,0 days 06:00:00,51.75,19.5,0,0.0,2004-01-03 12:00:00,1.8119812e-05
66,2004-01-03 06:00:00,0 days 07:00:00,51.75,19.5,0,0.0,2004-01-03 13:00:00,1.6212463e-05
67,2004-01-03 06:00:00,0 days 08:00:00,51.75,19.5,0,0.0,2004-01-03 14:00:00,1.335144e-05
68,2004-01-03 06:00:00,0 days 09:00:00,51.75,19.5,0,0.0,2004-01-03 15:00:00,1.1444092e-05
69,2004-01-03 06:00:00,0 days 10:00:00,51.75,19.5,0,0.0,2004-01-03 16:00:00,1.4305115e-05
70,2004-01-03 06:00:00,0 days 11:00:00,51.75,19.5,0,0.0,2004-01-03 17:00:00,1.04904175e-05
71,2004-01-03 06:00:00,0 days 12:00:00,51.75,19.5,0,0.0,2004-01-03 18:00:00,4.7683716e-06
72,2004-01-03 18:00:00,0 days 01:00:00,51.75,19.5,0,0.0,2004-01-03 19:00:00,9.536743e-07
73,2004-01-03 18:00:00,0 days 02:00:00,51.75,19.5,0,0.0,2004-01-03 20:00:00,9.536743e-07
74,2004-01-03 18:00:00,0 days 03:00:00,51.75,19.5,0,0.0,2004-01-03 21:00:00,4.7683716e-07
75,2004-01-03 18:00:00,0 days 04:00:00,51.75,19.5,0,0.0,2004-01-03 22:00:00,0.0
