,time,latitude,longitude,number,step,surface,valid_time,u10,v10,t2m,blh,sp,tcc
0,2024-01-01 00:00:00,52.5,17.0,0,0 days,0.0,2024-01-01 00:00:00,0.91677856,2.373703,276.5227,171.43484,99595.56,1.0
1,2024-01-01 06:00:00,52.5,17.0,0,0 days,0.0,2024-01-01 06:00:00,2.034958,1.3065491,276.30347,164.58713,99511.75,1.0
2,2024-01-01 12:00:00,52.5,17.0,0,0 days,0.0,2024-01-01 12:00:00,3.3386383,1.0559387,278.7478,529.9341,99504.81,1.0
3,2024-01-01 18:00:00,52.5,17.0,0,0 days,0.0,2024-01-01 18:00:00,3.1774597,0.8729553,277.53662,409.9309,99615.31,0.69540405
4,2024-01-02 00:00:00,52.5,17.0,0,0 days,0.0,2024-01-02 00:00:00,3.800644,1.477478,277.71387,467.85132,99671.06,0.9468994
5,2024-01-02 06:00:00,52.5,17.0,0,0 days,0.0,2024-01-02 06:00:00,1.9888153,1.6943207,277.333,268.55615,99608.625,1.0
6,2024-01-02 12:00:00,52.5,17.0,0,0 days,0.0,2024-01-02 12:00:00,-2.2877045,2.6743011,278.23218,384.76172,99257.875,1.0
7,2024-01-02 18:00:00,52.5,17.0,0,0 days,0.0,2024-01-02 18:00:00,-2.5888824,2.9067535,277.50317,502.0708,98796.375,1.0
8,2024-01-03 00:00:00,52.5,17.0,0,0 days,0.0,2024-01-03 00:00:00,-2.3829956,3.3973694,277.3828,353.47803,98254.81,1.0
9,2024-01-03 06:00:00,52.5,17.0,0,0 days,0.0,2024-01-03 06:00:00,3.0999756,2.0816956,280.41113,606.6321,97981.75,0.9824219
10,2024-01-03 12:00:00,52.5,17.0,0,0 days,0.0,2024-01-03 12:00:00,4.797577,1.7355347,282.2771,1193.2976,98142.81,0.9979553
11,2024-01-03 18:00:00,52.5,17.0,0,0 days,0.0,2024-01-03 18:00:00,4.6920776,2.6171875,280.73364,932.9241,98120.56,0.9968872
12,2024-01-04 00:00:00,52.5,17.0,0,0 days,0.0,2024-01-04 00:00:00,3.3896027,2.7810974,280.58472,513.3496,98065.625,0.8375244
13,2024-01-04 06:00:00,52.5,17.0,0,0 days,0.0,2024-01-04 06:00:00,4.38678,2.121582,280.54834,690.34814,98101.81,1.0
14,2024-01-04 12:00:00,52.5,17.0,0,0 days,0.0,2024-01-04 12:00:00,6.7139587,0.38761902,278.9812,1105.3132,98285.5,0.9968872
15,2024-01-04 18:00:00,52.5,17.0,0,0 days,0.0,2024-01-04 18:00:00,5.0164185,-4.95842,273.313,905.44824,98971.31,0.9909973
16,2024-01-05 00:00:00,52.5,17.0,0,0 days,0.0,2024-01-05 00:00:00,2.6592407,-1.1352081,271.96875,584.8955,99681.75,0.8711548
17,2024-01-05 06:00:00,52.5,17.0,0,0 days,0.0,2024-01-05 06:00:00,0.84043884,0.8664398,270.77417,36.888397,99855.44,0.45770264
18,2024-01-05 12:00:00,52.5,17.0,0,0 days,0.0,2024-01-05 12:00:00,-2.8128357,1.2146606,272.5056,531.9175,99823.125,0.9968872
19,2024-01-05 18:00:00,52.5,17.0,0,0 days,0.0,2024-01-05 18:00:00,-4.894745,0.29530334,271.69434,461.63428,99786.125,1.0
20,2024-01-06 00:00:00,52.5,17.0,0,0 days,0.0,2024-01-06 00:00:00,-5.14859,-0.92941284,271.14697,390.35156,99785.06,1.0
21,2024-01-06 06:00:00,52.5,17.0,0,0 days,0.0,2024-01-06 06:00:00,-4.3622284,-1.7975311,271.3003,410.8369,99937.0,1.0
22,2024-01-06 12:00:00,52.5,17.0,0,0 days,0.0,2024-01-06 12:00:00,-4.492401,-2.510849,271.8369,512.59375,100227.69,1.0
23,2024-01-06 18:00:00,52.5,17.0,0,0 days,0.0,2024-01-06 18:00:00,-4.3872223,-2.240219,270.89673,648.46924,100540.81,0.7548828
24,2024-01-07 00:00:00,52.5,17.0,0,0 days,0.0,2024-01-07 00:00:00,-4.0490875,-3.2600555,270.19482,636.3865,100741.0,0.86102295
25,2024-01-07 06:00:00,52.5,17.0,0,0 days,0.0,2024-01-07 06:00:00,-3.4505463,-3.6213531,267.6797,625.23584,100949.81,0.9989929
26,2024-01-07 12:00:00,52.5,17.0,0,0 days,0.0,2024-01-07 12:00:00,-2.6796722,-4.4394836,266.99902,705.82056,101109.56,0.9941406
27,2024-01-07 18:00:00,52.5,17.0,0,0 days,0.0,2024-01-07 18:00:00,-3.3320312,-3.566986,264.0083,713.28955,101376.31,1.0
28,2024-01-08 00:00:00,52.5,17.0,0,0 days,0.0,2024-01-08 00:00:00,-2.928894,-3.498169,262.6223,595.4751,101669.375,0.56988525
29,2024-01-08 06:00:00,52.5,17.0,0,0 days,0.0,2024-01-08 06:00:00,-3.0286255,-3.2765045,260.8672,445.36963,101959.94,0.2076416
30,2024-01-08 12:00:00,52.5,17.0,0,0 days,0.0,2024-01-08 12:00:00,-2.8013458,-2.793686,264.59937,478.1494,102210.69,0.0
31,2024-01-08 18:00:00,52.5,17.0,0,0 days,0.0,2024-01-08 18:00:00,-2.7950897,-2.302414,262.1189,373.7356,102564.875,0.031799316
32,2024-01-09 00:00:00,52.5,17.0,0,0 days,0.0,2024-01-09 00:00:00,-1.5875244,-0.7665863,258.88232,177.79567,102689.875,0.0062561035
33,2024-01-09 06:00:00,52.5,17.0,0,0 days,0.0,2024-01-09 06:00:00,-0.44309998,1.0414886,258.15527,104.24368,102728.06,0.0
34,2024-01-09 12:00:00,52.5,17.0,0,0 days,0.0,2024-01-09 12:00:00,0.58854675,0.46154785,266.5835,225.94708,102750.875,0.0
35,2024-01-09 18:00:00,52.5,17.0,0,0 days,0.0,2024-01-09 18:00:00,1.027771,-0.07609558,263.70215,28.283478,102643.19,0.003112793
36,2024-01-10 00:00:00,52.5,17.0,0,0 days,0.0,2024-01-10 00:00:00,1.3473969,0.064941406,263.0542,28.981583,102513.125,0.18713379
37,2024-01-10 06:00:00,52.5,17.0,0,0 days,0.0,2024-01-10 06:00:00,0.8948364,0.6351471,263.74878,61.0356,102395.75,0.5566406
38,2024-01-10 12:00:00,52.5,17.0,0,0 days,0.0,2024-01-10 12:00:00,1.1057892,-0.7344971,269.0442,272.1023,102282.75,0.12902832
39,2024-01-10 18:00:00,52.5,17.0,0,0 days,0.0,2024-01-10 18:00:00,1.7783508,0.1797638,266.61353,153.45605,102081.0,0.30914307
40,2024-01-11 00:00:00,52.5,17.0,0,0 days,0.0,2024-01-11 00:00:00,3.9427795,-0.6476135,266.49683,292.2517,101848.06,0.7357178
41,2024-01-11 06:00:00,52.5,17.0,0,0 days,0.0,2024-01-11 06:00:00,4.7888794,-0.7953644,268.9524,424.7981,101533.25,1.0
42,2024-01-11 12:00:00,52.5,17.0,0,0 days,0.0,2024-01-11 12:00:00,4.563629,-1.5102997,271.6377,562.72485,101403.56,1.0
43,2024-01-11 18:00:00,52.5,17.0,0,0 days,0.0,2024-01-11 18:00:00,3.1779633,-2.24115,273.3772,361.7539,101488.69,1.0
44,2024-01-12 00:00:00,52.5,17.0,0,0 days,0.0,2024-01-12 00:00:00,0.9470978,-3.0459747,271.511,252.65486,101694.125,0.43984985
45,2024-01-12 06:00:00,52.5,17.0,0,0 days,0.0,2024-01-12 06:00:00,1.8428497,-0.74871826,269.64575,87.16405,101748.69,0.055633545
46,2024-01-12 12:00:00,52.5,17.0,0,0 days,0.0,2024-01-12 12:00:00,5.349167,0.2381897,272.417,450.73535,101467.625,0.9989929
47,2024-01-12 18:00:00,52.5,17.0,0,0 days,0.0,2024-01-12 18:00:00,5.647522,-0.18338013,272.36987,516.39575,101188.44,1.0
48,2024-01-13 00:00:00,52.5,17.0,0,0 days,0.0,2024-01-13 00:00:00,5.0109406,-0.63423157,272.73926,670.3948,100960.06,0.9878845
