,time,step,latitude,longitude,number,surface,valid_time,tp
0,2003-12-31 18:00:00,0 days 01:00:00,52.5,17.0,0,0.0,2003-12-31 19:00:00,
1,2003-12-31 18:00:00,0 days 02:00:00,52.5,17.0,0,0.0,2003-12-31 20:00:00,
2,2003-12-31 18:00:00,0 days 03:00:00,52.5,17.0,0,0.0,2003-12-31 21:00:00,
3,2003-12-31 18:00:00,0 days 04:00:00,52.5,17.0,0,0.0,2003-12-31 22:00:00,
4,2003-12-31 18:00:00,0 days 05:00:00,52.5,17.0,0,0.0,2003-12-31 23:00:00,
5,2003-12-31 18:00:00,0 days 06:00:00,52.5,17.0,0,0.0,2004-01-01 00:00:00,1.5258789e-05
6,2003-12-31 18:00:00,0 days 07:00:00,52.5,17.0,0,0.0,2004-01-01 01:00:00,4.339218e-05
7,2003-12-31 18:00:00,0 days 08:00:00,52.5,17.0,0,0.0,2004-01-01 02:00:00,7.772446e-05
8,2003-12-31 18:00:00,0 days 09:00:00,52.5,17.0,0,0.0,2004-01-01 03:00:00,0.00015354156
9,2003-12-31 18:00:00,0 days 10:00:00,52.5,17.0,0,0.0,2004-01-01 04:00:00,0.00014400482
10,2003-12-31 18:00:00,0 days 11:00:00,52.5,17.0,0,0.0,2004-01-01 05:00:00,0.0001296997
11,2003-12-31 18:00:00,0 days 12:00:00,52.5,17.0,0,0.0,2004-01-01 06:00:00,6.771088e-05
12,2004-01-01 06:00:00,0 days 01:00:00,52.5,17.0,0,0.0,2004-01-01 07:00:00,0.00017356873
13,2004-01-01 06:00:00,0 days 02:00:00,52.5,17.0,0,0.0,2004-01-01 08:00:00,9.346008e-05
14,2004-01-01 06:00:00,0 days 03:00:00,52.5,17.0,0,0.0,2004-01-01 09:00:00,7.8201294e-05
15,2004-01-01 06:00:00,0 days 04:00:00,52.5,17.0,0,0.0,2004-01-01 10:00:00,4.339218e-05
16,2004-01-01 06:00:00,0 days 05:00:00,52.5,17.0,0,0.0,2004-01-01 11:00:00,4.053116e-05
17,2004-01-01 06:00:00,0 days 06:00:00,52.5,17.0,0,0.0,2004-01-01 12:00:00,3.7670135e-05
18,2004-01-01 06:00:00,0 days 07:00:00,52.5,17.0,0,0.0,2004-01-01 13:00:00,2.1457672e-05
19,2004-01-01 06:00:00,0 days 08:00:00,52.5,17.0,0,0.0,2004-01-01 14:00:00,2.861023e-06
20,2004-01-01 06:00:00,0 days 09:00:00,52.5,17.0,0,0.0,2004-01-01 15:00:00,9.536743e-07
21,2004-01-01 06:00:00,0 days 10:00:00,52.5,17.0,0,0.0,2004-01-01 16:00:00,1.9073486e-06
22,2004-01-01 06:00:00,0 days 11:00:00,52.5,17.0,0,0.0,2004-01-01 17:00:00,1.4305115e-06
23,2004-01-01 06:00:00,0 days 12:00:00,52.5,17.0,0,0.0,2004-01-01 18:00:00,9.536743e-07
24,2004-01-01 18:00:00,0 days 01:00:00,52.5,17.0,0,0.0,2004-01-01 19:00:00,4.7683716e-07
25,2004-01-01 18:00:00,0 days 02:00:00,52.5,17.0,0,0.0,2004-01-01 20:00:00,4.7683716e-07
26,2004-01-01 18:00:00,0 days 03:00:00,52.5,17.0,0,0.0,2004-01-01 21:00:00,1.4305115e-06
27,2004-01-01 18:00:00,0 days 04:00:00,52.5,17.0,0,0.0,2004-01-01 22:00:00,6.67572e-06
28,2004-01-01 18:00:00,0 days 05:00:00,52.5,17.0,0,0.0,2004-01-01 23:00:00,2.336502e-05
29,2004-01-01 18:00:00,0 days 06:00:00,52.5,17.0,0,0.0,2004-01-02 00:00:00,2.3841858e-05
30,2004-01-01 18:00:00,0 days 07:00:00,52.5,17.0,0,0.0,2004-01-02 01:00:00,3.0040741e-05
