,time,isobaricInhPa,latitude,longitude,number,step,valid_time,t
0,2024-01-01 00:00:00,1000.0,51.75,19.5,0,0 days,2024-01-01 00:00:00,280.79126
1,2024-01-01 00:00:00,925.0,51.75,19.5,0,0 days,2024-01-01 00:00:00,277.6455
2,2024-01-01 06:00:00,1000.0,51.75,19.5,0,0 days,2024-01-01 06:00:00,279.48828
3,2024-01-01 06:00:00,925.0,51.75,19.5,0,0 days,2024-01-01 06:00:00,276.46362
4,2024-01-01 12:00:00,1000.0,51.75,19.5,0,0 days,2024-01-01 12:00:00,278.5857
5,2024-01-01 12:00:00,925.0,51.75,19.5,0,0 days,2024-01-01 12:00:00,274.1714
6,2024-01-01 18:00:00,1000.0,51.75,19.5,0,0 days,2024-01-01 18:00:00,278.89355
7,2024-01-01 18:00:00,925.0,51.75,19.5,0,0 days,2024-01-01 18:00:00,275.12646
8,2024-01-02 00:00:00,1000.0,51.75,19.5,0,0 days,2024-01-02 00:00:00,278.02563
9,2024-01-02 00:00:00,925.0,51.75,19.5,0,0 days,2024-01-02 00:00:00,274.58447
10,2024-01-02 06:00:00,1000.0,51.75,19.5,0,0 days,2024-01-02 06:00:00,277.70825
11,2024-01-02 06:00:00,925.0,51.75,19.5,0,0 days,2024-01-02 06:00:00,273.66895
12,2024-01-02 12:00:00,1000.0,51.75,19.5,0,0 days,2024-01-02 12:00:00,279.0459
13,2024-01-02 12:00:00,925.0,51.75,19.5,0,0 days,2024-01-02 12:00:00,274.36426
14,2024-01-02 18:00:00,1000.0,51.75,19.5,0,0 days,2024-01-02 18:00:00,278.44336
15,2024-01-02 18:00:00,925.0,51.75,19.5,0,0 days,2024-01-02 18:00:00,273.54883
16,2024-01-03 00:00:00,1000.0,51.75,19.5,0,0 days,2024-01-03 00:00:00,278.11035
17,2024-01-03 00:00:00,925.0,51.75,19.5,0,0 days,2024-01-03 00:00:00,273.92578
18,2024-01-03 06:00:00,1000.0,51.75,19.5,0,0 days,2024-01-03 06:00:00,281.25488
19,2024-01-03 06:00:00,925.0,51.75,19.5,0,0 days,2024-01-03 06:00:00,278.05542
20,2024-01-03 12:00:00,1000.0,51.75,19.5,0,0 days,2024-01-03 12:00:00,283.7544
21,2024-01-03 12:00:00,925.0,51.75,19.5,0,0 days,2024-01-03 12:00:00,279.10962
22,2024-01-03 18:00:00,1000.0,51.75,19.5,0,0 days,2024-01-03 18:00:00,282.35132
23,2024-01-03 18:00:00,925.0,51.75,19.5,0,0 days,2024-01-03 18:00:00,278.83423
24,2024-01-04 00:00:00,1000.0,51.75,19.5,0,0 days,2024-01-04 00:00:00,281.85693
25,2024-01-04 00:00:00,925.0,51.75,19.5,0,0 days,2024-01-04 00:00:00,278.21777
26,2024-01-04 06:00:00,1000.0,51.75,19.5,0,0 days,2024-01-04 06:00:00,281.33423
27,2024-01-04 06:00:00,925.0,51.75,19.5,0,0 days,2024-01-04 06:00:00,277.02124
28,2024-01-04 12:00:00,1000.0,51.75,19.5,0,0 days,2024-01-04 12:00:00,281.5786
29,2024-01-04 12:00:00,925.0,51.75,19.5,0,0 days,2024-01-04 12:00:00,276.84717
30,2024-01-04 18:00:00,1000.0,51.75,19.5,0,0 days,2024-01-04 18:00:00,276.98706
31,2024-01-04 18:00:00,925.0,51.75,19.5,0,0 days,2024-01-04 18:00:00,272.28857
32,2024-01-05 00:00:00,1000.0,51.75,19.5,0,0 days,2024-01-05 00:00:00,272.0022
33,2024-01-05 00:00:00,925.0,51.75,19.5,0,0 days,2024-01-05 00:00:00,266.94824
34,2024-01-05 06:00:00,1000.0,51.75,19.5,0,0 days,2024-01-05 06:00:00,271.37842
35,2024-01-05 06:00:00,925.0,51.75,19.5,0,0 days,2024-01-05 06:00:00,266.49756
36,2024-01-05 12:00:00,1000.0,51.75,19.5,0,0 days,2024-01-05 12:00:00,272.36426
37,2024-01-05 12:00:00,925.0,51.75,19.5,0,0 days,2024-01-05 12:00:00,268.07666
38,2024-01-05 18:00:00,1000.0,51.75,19.5,0,0 days,2024-01-05 18:00:00,272.26074
39,2024-01-05 18:00:00,925.0,51.75,19.5,0,0 days,2024-01-05 18:00:00,270.58154
40,2024-01-06 00:00:00,1000.0,51.75,19.5,0,0 days,2024-01-06 00:00:00,272.16235
41,2024-01-06 00:00:00,925.0,51.75,19.5,0,0 days,2024-01-06 00:00:00,273.13208
42,2024-01-06 06:00:00,1000.0,51.75,19.5,0,0 days,2024-01-06 06:00:00,271.66138
43,2024-01-06 06:00:00,925.0,51.75,19.5,0,0 days,2024-01-06 06:00:00,272.58423
44,2024-01-06 12:00:00,1000.0,51.75,19.5,0,0 days,2024-01-06 12:00:00,270.89062
45,2024-01-06 12:00:00,925.0,51.75,19.5,0,0 days,2024-01-06 12:00:00,270.3706
46,2024-01-06 18:00:00,1000.0,51.75,19.5,0,0 days,2024-01-06 18:00:00,270.26294
47,2024-01-06 18:00:00,925.0,51.75,19.5,0,0 days,2024-01-06 18:00:00,267.34326
48,2024-01-07 00:00:00,1000.0,51.75,19.5,0,0 days,2024-01-07 00:00:00,267.66577
