,time,isobaricInhPa,latitude,longitude,number,step,valid_time,t
53,2022-01-07 12:00:00,925.0,52.5,17.0,0,0 days,2022-01-07 12:00:00,271.7295
54,2022-01-07 18:00:00,1000.0,52.5,17.0,0,0 days,2022-01-07 18:00:00,273.66724
55,2022-01-07 18:00:00,925.0,52.5,17.0,0,0 days,2022-01-07 18:00:00,270.39746
56,2022-01-08 00:00:00,1000.0,52.5,17.0,0,0 days,2022-01-08 00:00:00,273.39014
57,2022-01-08 00:00:00,925.0,52.5,17.0,0,0 days,2022-01-08 00:00:00,270.63037
58,2022-01-08 06:00:00,1000.0,52.5,17.0,0,0 days,2022-01-08 06:00:00,272.98047
59,2022-01-08 06:00:00,925.0,52.5,17.0,0,0 days,2022-01-08 06:00:00,270.63403
60,2022-01-08 12:00:00,1000.0,52.5,17.0,0,0 days,2022-01-08 12:00:00,275.0879
61,2022-01-08 12:00:00,925.0,52.5,17.0,0,0 days,2022-01-08 12:00:00,270.68774
62,2022-01-08 18:00:00,1000.0,52.5,17.0,0,0 days,2022-01-08 18:00:00,273.95874
63,2022-01-08 18:00:00,925.0,52.5,17.0,0,0 days,2022-01-08 18:00:00,270.7439
64,2022-01-09 00:00:00,1000.0,52.5,17.0,0,0 days,2022-01-09 00:00:00,273.04395
65,2022-01-09 00:00:00,925.0,52.5,17.0,0,0 days,2022-01-09 00:00:00,270.17456
66,2022-01-09 06:00:00,1000.0,52.5,17.0,0,0 days,2022-01-09 06:00:00,271.27246
67,2022-01-09 06:00:00,925.0,52.5,17.0,0,0 days,2022-01-09 06:00:00,271.0276
68,2022-01-09 12:00:00,1000.0,52.5,17.0,0,0 days,2022-01-09 12:00:00,273.7588
69,2022-01-09 12:00:00,925.0,52.5,17.0,0,0 days,2022-01-09 12:00:00,271.1902
70,2022-01-09 18:00:00,1000.0,52.5,17.0,0,0 days,2022-01-09 18:00:00,273.76636
71,2022-01-09 18:00:00,925.0,52.5,17.0,0,0 days,2022-01-09 18:00:00,271.47388
72,2022-01-10 00:00:00,1000.0,52.5,17.0,0,0 days,2022-01-10 00:00:00,272.95093
73,2022-01-10 00:00:00,925.0,52.5,17.0,0,0 days,2022-01-10 00:00:00,272.83228
74,2022-01-10 06:00:00,1000.0,52.5,17.0,0,0 days,2022-01-10 06:00:00,269.3015
75,2022-01-10 06:00:00,925.0,52.5,17.0,0,0 days,2022-01-10 06:00:00,271.7329
76,2022-01-10 12:00:00,1000.0,52.5,17.0,0,0 days,2022-01-10 12:00:00,271.39502
77,2022-01-10 12:00:00,925.0,52.5,17.0,0,0 days,2022-01-10 12:00:00,269.90527
78,2022-01-10 18:00:00,1000.0,52.5,17.0,0,0 days,2022-01-10 18:00:00,269.00293
79,2022-01-10 18:00:00,925.0,52.5,17.0,0,0 days,2022-01-10 18:00:00,269.39233
80,2022-01-11 00:00:00,1000.0,52.5,17.0,0,0 days,2022-01-11 00:00:00,270.8357
81,2022-01-11 00:00:00,925.0,52.5,17.0,0,0 days,2022-01-11 00:00:00,265.10498
82,2022-01-11 06:00:00,1000.0,52.5,17.0,0,0 days,2022-01-11 06:00:00,271.07544
83,2022-01-11 06:00:00,925.0,52.5,17.0,0,0 days,2022-01-11 06:00:00,267.1587
84,2022-01-11 12:00:00,1000.0,52.5,17.0,0,0 days,2022-01-11 12:00:00,271.5
85,2022-01-11 12:00:00,925.0,52.5,17.0,0,0 days,2022-01-11 12:00:00,267.07812
86,2022-01-11 18:00:00,1000.0,52.5,17.0,0,0 days,2022-01-11 18:00:00,272.06714
87,2022-01-11 18:00:00,925.0,52.5,17.0,0,0 days,2022-01-11 18:00:00,266.05054
88,2022-01-12 00:00:00,1000.0,52.5,17.0,0,0 days,2022-01-12 00:00:00,271.71533
89,2022-01-12 00:00:00,925.0,52.5,17.0,0,0 days,2022-01-12 00:00:00,266.5232
90,2022-01-12 06:00:00,1000.0,52.5,17.0,0,0 days,2022-01-12 06:00:00,269.57666
91,2022-01-12 06:00:00,925.0,52.5,17.0,0,0 days,2022-01-12 06:00:00,268.46948
92,2022-01-12 12:00:00,1000.0,52.5,17.0,0,0 days,2022-01-12 12:00:00,270.22314
93,2022-01-12 12:00:00,925.0,52.5,17.0,0,0 days,2022-01-12 12:00:00,272.4087
94,2022-01-12 18:00:00,1000.0,52.5,17.0,0,0 days,2022-01-12 18:00:00,272.34448
95,2022-01-12 18:00:00,925.0,52.5,17.0,0,0 days,2022-01-12 18:00:00,273.19775
96,2022-01-13 00:00:00,1000.0,52.5,17.0,0,0 days,2022-01-13 00:00:00,271.97876
97,2022-01-13 00:00:00,925.0,52.5,17.0,0,0 days,2022-01-13 00:00:00,274.10107
98,2022-01-13 06:00:00,1000.0,52.5,17.0,0,0 days,2022-01-13 06:00:00,274.6062
99,2022-01-13 06:00:00,925.0,52.5,17.0,0,0 days,2022-01-13 06:00:00,277.11987
100,2022-01-13 12:00:00,1000.0,52.5,17.0,0,0 days,2022-01-13 12:00:00,276.12256
101,2022-01-13 12:00:00,925.0,52.5,17.0,0,0 days,2022-01-13 12:00:00,274.61035
102,2022-01-13 18:00:00,1000.0,52.5,17.0,0,0 days,2022-01-13 18:00:00,276.50098
103,2022-01-13 18:00:00,925.0,52.5,17.0,0,0 days,2022-01-13 18:00:00,274.63696
104,2022-01-14 00:00:00,1000.0,52.5,17.0,0,0 days,2022-01-14 00:00:00,276.60474
105,2022-01-14 00:00:00,925.0,52.5,17.0,0,0 days,2022-01-14 00:00:00,273.33105
106,2022-01-14 06:00:00,1000.0,52.5,17.0,0,0 days,2022-01-14 06:00:00,276.7881
107,2022-01-14 06:00:00,925.0,52.5,17.0,0,0 days,2022-01-14 06:00:00,274.4265
108,2022-01-14 12:00:00,1000.0,52.5,17.0,0,0 days,2022-01-14 12:00:00,278.54224
109,2022-01-14 12:00:00,925.0,52.5,17.0,0,0 days,2022-01-14 12:00:00,275.0813
110,2022-01-14 18:00:00,1000.0,52.5,17.0,0,0 days,2022-01-14 18:00:00,276.61768
111,2022-01-14 18:00:00,925.0,52.5,17.0,0,0 days,2022-01-14 18:00:00,272.5869
112,2022-01-15 00:00:00,1000.0,52.5,17.0,0,0 days,2022-01-15 00:00:00,273.64575
113,2022-01-15 00:00:00,925.0,52.5,17.0,0,0 days,2022-01-15 00:00:00,272.9651
114,2022-01-15 06:00:00,1000.0,52.5,17.0,0,0 days,2022-01-15 06:00:00,272.00342
115,2022-01-15 06:00:00,925.0,52.5,17.0,0,0 days,2022-01-15 06:00:00,272.57178
116,2022-01-15 12:00:00,1000.0,52.5,17.0,0,0 days,2022-01-15 12:00:00,272.8169
117,2022-01-15 12:00:00,925.0,52.5,17.0,0,0 days,2022-01-15 12:00:00,272.9724
118,2022-01-15 18:00:00,1000.0,52.5,17.0,0,0 days,2022-01-15 18:00:00,271.58862
119,2022-01-15 18:00:00,925.0,52.5,17.0,0,0 days,2022-01-15 18:00:00,273.34668
120,2022-01-16 00:00:00,1000.0,52.5,17.0,0,0 days,2022-01-16 00:00:00,271.90723
121,2022-01-16 00:00:00,925.0,52.5,17.0,0,0 days,2022-01-16 00:00:00,272.33276
122,2022-01-16 06:00:00,1000.0,52.5,17.0,0,0 days,2022-01-16 06:00:00,272.04712
123,2022-01-16 06:00:00,925.0,52.5,17.0,0,0 days,2022-01-16 06:00:00,272.60864
124,2022-01-16 12:00:00,1000.0,52.5,17.0,0,0 days,2022-01-16 12:00:00,274.4541
125,2022-01-16 12:00:00,925.0,52.5,17.0,0,0 days,2022-01-16 12:00:00,275.24634
126,2022-01-16 18:00:00,1000.0,52.5,17.0,0,0 days,2022-01-16 18:00:00,274.47192
127,2022-01-16 18:00:00,925.0,52.5,17.0,0,0 days,2022-01-16 18:00:00,270.68018
128,2022-01-17 00:00:00,1000.0,52.5,17.0,0,0 days,2022-01-17 00:00:00,277.01025
129,2022-01-17 00:00:00,925.0,52.5,17.0,0,0 days,2022-01-17 00:00:00,273.40405
130,2022-01-17 06:00:00,1000.0,52.5,17.0,0,0 days,2022-01-17 06:00:00,277.17163
131,2022-01-17 06:00:00,925.0,52.5,17.0,0,0 days,2022-01-17 06:00:00,272.91455
132,2022-01-17 12:00:00,1000.0,52.5,17.0,0,0 days,2022-01-17 12:00:00,276.0327
133,2022-01-17 12:00:00,925.0,52.5,17.0,0,0 days,2022-01-17 12:00:00,270.63892
134,2022-01-17 18:00:00,1000.0,52.5,17.0,0,0 days,2022-01-17 18:00:00,274.79395
135,2022-01-17 18:00:00,925.0,52.5,17.0,0,0 days,2022-01-17 18:00:00,270.23828
136,2022-01-18 00:00:00,1000.0,52.5,17.0,0,0 days,2022-01-18 00:00:00,272.96875
137,2022-01-18 00:00:00,925.0,52.5,17.0,0,0 days,2022-01-18 00:00:00,269.7859
138,2022-01-18 06:00:00,1000.0,52.5,17.0,0,0 days,2022-01-18 06:00:00,271.8706
139,2022-01-18 06:00:00,925.0,52.5,17.0,0,0 days,2022-01-18 06:00:00,271.44678
140,2022-01-18 12:00:00,1000.0,52.5,17.0,0,0 days,2022-01-18 12:00:00,273.4004
141,2022-01-18 12:00:00,925.0,52.5,17.0,0,0 days,2022-01-18 12:00:00,271.88354
142,2022-01-18 18:00:00,1000.0,52.5,17.0,0,0 days,2022-01-18 18:00:00,273.18848
143,2022-01-18 18:00:00,925.0,52.5,17.0,0,0 days,2022-01-18 18:00:00,272.09448
144,2022-01-19 00:00:00,1000.0,52.5,17.0,0,0 days,2022-01-19 00:00:00,274.97437
145,2022-01-19 00:00:00,925.0,52.5,17.0,0,0 days,2022-01-19 00:00:00,271.41968
146,2022-01-19 06:00:00,1000.0,52.5,17.0,0,0 days,2022-01-19 06:00:00,274.6621
147,2022-01-19 06:00:00,925.0,52.5,17.0,0,0 days,2022-01-19 06:00:00,277.83276
148,2022-01-19 12:00:00,1000.0,52.5,17.0,0,0 days,2022-01-19 12:00:00,276.58423
149,2022-01-19 12:00:00,925.0,52.5,17.0,0,0 days,2022-01-19 12:00:00,280.95215
150,2022-01-19 18:00:00,1000.0,52.5,17.0,0,0 days,2022-01-19 18:00:00,275.18555
151,2022-01-19 18:00:00,925.0,52.5,17.0,0,0 days,2022-01-19 18:00:00,273.20605
152,2022-01-20 00:00:00,1000.0,52.5,17.0,0,0 days,2022-01-20 00:00:00,275.7312
153,2022-01-20 00:00:00,925.0,52.5,17.0,0,0 days,2022-01-20 00:00:00,271.5244
154,2022-01-20 06:00:00,1000.0,52.5,17.0,0,0 days,2022-01-20 06:00:00,273.92847
155,2022-01-20 06:00:00,925.0,52.5,17.0,0,0 days,2022-01-20 06:00:00,269.3745
156,2022-01-20 12:00:00,1000.0,52.5,17.0,0,0 days,2022-01-20 12:00:00,273.30347
157,2022-01-20 12:00:00,925.0,52.5,17.0,0,0 days,2022-01-20 12:00:00,268.00586
158,2022-01-20 18:00:00,1000.0,52.5,17.0,0,0 days,2022-01-20 18:00:00,272.62158
159,2022-01-20 18:00:00,925.0,52.5,17.0,0,0 days,2022-01-20 18:00:00,267.98584
