Year;$ money of the day;$ 2021;Column 6;Column 7;Column 8;Column 9;Column 10;Column 11;Column 12
1926;1.88;27.4763074796;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1928;1.17;17.6628413871;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1937;1.18;21.2586837778;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1949;1.78;19.316462509399997;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1952;1.71;16.6626403965;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1953;1.93;18.6565203405;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1954;1.93;18.5666093991;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1958;2.08;18.6099602416;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1962;1.8;15.392007791999998;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1963;1.8;15.21032247;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1964;1.8;15.000685559999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1974;11.58;60.809766700199994;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1976;12.8;58.205558656;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1979;31.61;112.6861668044077;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1980;36.83;115.67972245145629;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1984;28.78;71.68989971126082;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1986;14.43;34.07520739051095;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1988;14.9238416988417;32.64965675332983;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1993;16.9716342412451;30.397547609763908;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1996;20.668488372093;34.09325776972442;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2003;28.830703125;40.552734274371595;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2012;111.669702380952;125.88023791090608;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2014;98.9460079051383;108.17245899202803;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2015;52.3867588932806;57.20378477463154;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2017;54.1924404761905;57.21931997423033;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019;64.2105731225296;65.00272881405557;0.0;0.0;0.0;0.0;0.0;0.0;0.0
