iter	R2	RMSE
213	0.6337637805	0.1070254043
214	0.6352326662	0.106810562
215	0.6365305515	0.1066203704
216	0.6378097242	0.1064325883
217	0.639090434	0.1062442481
218	0.6403133811	0.1060640903
219	0.6413726822	0.1059077922
220	0.6424185867	0.1057532442
221	0.6433986773	0.1056082158
222	0.6444306291	0.1054552978
223	0.6455983317	0.1052819959
224	0.6467811262	0.1051061629
225	0.6478305546	0.1049499093
226	0.6489382683	0.1047847246
227	0.6501159381	0.1046088218
228	0.6515050279	0.1044009593
229	0.6526001203	0.1042367981
230	0.6534338472	0.1041116438
231	0.6546431406	0.1039298436
232	0.6558703673	0.1037450218
233	0.6569438386	0.1035830853
234	0.6579822765	0.1034261924
235	0.6587577404	0.1033088757
236	0.6599658497	0.10312584
237	0.6610269746	0.1029648048
238	0.6620497124	0.1028093565
239	0.6631974067	0.1026346355
240	0.66375029	0.1025503602
241	0.664892165	0.102376086
242	0.6658342442	0.1022320812
243	0.6669232189	0.1020653691
244	0.6679403056	0.101909416
245	0.6689750084	0.1017505165
246	0.6697516478	0.1016310846
247	0.6708800398	0.1014573096
248	0.671983106	0.1012871466
249	0.6727669128	0.1011660598
250	0.6737883516	0.1010080445
251	0.6746394143	0.1008761971
252	0.6755997113	0.1007272197
253	0.6763754416	0.1006067144
254	0.6772416164	0.1004719883
255	0.6780725722	0.1003425701
256	0.6792642439	0.10015668
257	0.6803436681	0.09998800115
258	0.6811612535	0.09986004957
259	0.6820862875	0.09971508439
260	0.682928253	0.09958295367
261	0.6835226198	0.09948957329
262	0.6844882166	0.09933768217
263	0.6855015604	0.09917803017
264	0.6864711606	0.09902502897
265	0.6875345317	0.09885695864
266	0.687864391	0.09880476488
267	0.6889677702	0.09862997605
268	0.6897448378	0.09850669288
269	0.6906056171	0.09836994829
270	0.6914743899	0.09823174086
271	0.692443867	0.09807728309
272	0.6933385101	0.0979345318
273	0.6938227114	0.0978571847
274	0.6948381596	0.09769477645
275	0.6957074084	0.0975555362
276	0.6962328641	0.09747126983
277	0.6972478763	0.09730828757
278	0.6979821596	0.09719021205
279	0.6989294822	0.09703766675
280	0.6998448229	0.0968900433
281	0.700369994	0.09680524362
282	0.7012236193	0.09666724952
283	0.7021766294	0.09651295613
284	0.7030987612	0.09636342679
285	0.7039496187	0.09622524891
286	0.7047237136	0.09609936453
287	0.7055605825	0.09596308601
288	0.7064105818	0.09582447089
289	0.707135922	0.09570602602
290	0.7078164005	0.09559477344
291	0.7085904729	0.09546806142
292	0.7096090977	0.09530106058
293	0.71049309	0.09515589486
294	0.7111868746	0.09504180899
295	0.7116195276	0.09497059419
296	0.7122325127	0.09486960517
297	0.7128736446	0.09476386381
298	0.7136995741	0.09462746979
299	0.7146268455	0.09447410552
300	0.7153566135	0.09435323166
301	0.7159245048	0.09425906272
302	0.7166968924	0.09413083257
303	0.7174845663	0.09399988447
304	0.7184122653	0.09384542334
305	0.719253752	0.09370509628
306	0.7199504459	0.09358875577
307	0.7206679348	0.09346879137
308	0.7213837931	0.09334894595
309	0.7218364752	0.09327308071
310	0.722691747	0.09312957653
311	0.7235312401	0.09298850447
312	0.7242654363	0.09286495127
313	0.7244855822	0.09282787229
314	0.7254000519	0.0926736901
315	0.7262734293	0.09252619632
316	0.7270259217	0.09239892849
317	0.7277673236	0.09227336469
318	0.7285532368	0.09214007564
319	0.7292227421	0.09202637683
320	0.729478465	0.09198291156
321	0.7304478277	0.09181796198
322	0.731144007	0.09169931502
323	0.7318040518	0.09158668439
324	0.73247454	0.09147212967
325	0.7333018397	0.09133058528
326	0.7337696584	0.09125044802
327	0.7344449918	0.09113463928
328	0.7350651121	0.09102816894
329	0.735820727	0.09089826653
330	0.7361033666	0.09084962849
331	0.7364793716	0.09078488327
332	0.7368002174	0.09072959951
333	0.7374566378	0.09061638905
334	0.7381054576	0.09050435027
335	0.738527068	0.0904314718
336	0.7392852703	0.09030026294
337	0.7399412801	0.09018658474
338	0.7401984305	0.09014198471
339	0.7408677121	0.09002580128
340	0.7416506753	0.08988969277
341	0.7423879358	0.08976134045
342	0.743128555	0.08963221836
343	0.7438968018	0.08949808273
344	0.7444407245	0.08940299233
345	0.7451636374	0.08927645348
346	0.745992271	0.0891311883
347	0.7467085487	0.08900542882
348	0.7474686938	0.08887177277
349	0.7482341235	0.0887369841
350	0.7488713344	0.08862461779
351	0.7495560909	0.08850370825
352	0.7503075019	0.08837083893
353	0.7509254702	0.08826141593
354	0.7514144511	0.08817473635
355	0.7519580092	0.088078282
356	0.7524085556	0.08799825242
357	0.7530848442	0.08787798795
358	0.7536438925	0.08777844793
359	0.7542809682	0.08766487714
360	0.7549153791	0.087551635
361	0.7556073423	0.08742795254
362	0.7563561185	0.08729391785
363	0.757155882	0.08715052851
364	0.7576192489	0.08706734356
365	0.7582847864	0.08694772511
366	0.7590063716	0.08681784689
367	0.7596881181	0.08669496049
368	0.7602944886	0.08658551423
369	0.7609675427	0.08646386977
370	0.761528108	0.08636242518
371	0.7621019751	0.08625844981
372	0.7627206151	0.08614622176
373	0.7632698338	0.08604646483
374	0.7637811294	0.08595349196
375	0.7644273501	0.08583584057
376	0.765053184	0.08572174687
377	0.7656047033	0.0856210752
378	0.7657195333	0.08560009979
379	0.7657855082	0.08558804617
380	0.7663775661	0.08547980107
381	0.7669833276	0.08536890851
382	0.7675169928	0.08527109463
383	0.768138975	0.08515695162
384	0.7687605692	0.08504272673
385	0.7693731057	0.08493001604
386	0.7698477216	0.08484258067
387	0.7705236746	0.08471789851
388	0.7710748898	0.08461608873
389	0.77163125	0.08451320429
390	0.7722099125	0.08440606256
391	0.7727665546	0.08430286952
392	0.7733155431	0.08420097146
393	0.7738638415	0.08409907827
394	0.7744544161	0.08398919037
395	0.7749409151	0.08389855967
396	0.7753873793	0.08381530087
397	0.7760941401	0.08368333134
398	0.7765564009	0.08359690326
399	0.776984174	0.08351684359
400	0.7772759921	0.08346218445
401	0.7778703844	0.08335074065
402	0.7783295369	0.08326455111
403	0.778938057	0.08315018546
404	0.7794516659	0.08305353493
405	0.7799288943	0.08296362953
406	0.7803249896	0.0828889348
407	0.780876752	0.08278477241
408	0.7814878746	0.08266925072
409	0.7820004335	0.08257223612
410	0.7825799259	0.0824624152
411	0.783140826	0.08235597828
412	0.7835583503	0.08227665909
413	0.7837666312	0.08223706232
414	0.7841368436	0.08216663326
415	0.7846646065	0.08206612737
416	0.7853491721	0.08193557668
417	0.7858512118	0.08183970239
418	0.7863077932	0.08175241161
419	0.7867896909	0.08166017958
420	0.7872537588	0.08157126147
421	0.7877529728	0.08147550084
422	0.7883062565	0.08136923673
423	0.7888241232	0.08126964896
424	0.7893568367	0.08116707857
425	0.7898096625	0.08107978802
426	0.7902169797	0.08100118971
427	0.7907998352	0.08088858568
428	0.7913236787	0.08078724847
429	0.791606235	0.08073253532
430	0.791987513	0.08065864723
431	0.7924456869	0.08056976782
432	0.7929932036	0.08046342837
433	0.7930737254	0.08044777746
434	0.7936055781	0.08034432541
435	0.7939886711	0.08026972637
436	0.7942197994	0.08022468562
437	0.7947988693	0.08011172911
438	0.7951921512	0.0800349225
439	0.7957127931	0.07993312941
440	0.7961027801	0.07985679625
441	0.7965139574	0.07977623637
442	0.7969536069	0.07969000798
443	0.7974684754	0.07958890813
444	0.7978916549	0.07950571614
445	0.7982581167	0.07943360375
446	0.7986304806	0.07936026285
447	0.7987574266	0.07933524401
448	0.7992650901	0.07923511352
449	0.799709602	0.07914733488
450	0.8001224072	0.07906573017
451	0.800267733	0.07903698163
452	0.8007727441	0.07893699825
453	0.8011449976	0.07886321739
454	0.8014693345	0.07879887733
455	0.8015851047	0.07877589877
456	0.8019189246	0.07870960327
457	0.8023909966	0.07861575593
458	0.8028050393	0.07853335242
459	0.8032359895	0.07844749203
460	0.8036951806	0.07835590153
461	0.8040988413	0.07827529862
462	0.8046900761	0.07815709091
463	0.8051628003	0.07806244869
464	0.8055639862	0.07798203876
465	0.8060120969	0.07789212553
466	0.8064572147	0.07780270995
467	0.8069326713	0.07770708624
468	0.8073242903	0.07762823544
469	0.8078108666	0.07753015371
470	0.8081754165	0.07745658809
471	0.8084641464	0.07739827322
472	0.8087671393	0.07733703034
473	0.8092726005	0.07723475521
474	0.8094077605	0.07720738394
475	0.8098376687	0.07712025861
476	0.8101513896	0.07705661766
477	0.8102343928	0.07703977096
478	0.8106052881	0.07696444735
479	0.8107332684	0.07693843924
480	0.8111525015	0.0768531812
481	0.8115312146	0.07677608218
482	0.8119177106	0.0766973188
483	0.8121087899	0.07665834915
484	0.812424368	0.07659394523
485	0.8127531722	0.07652678445
486	0.8132094633	0.07643348569
487	0.8135321384	0.07636743887
488	0.8138475833	0.0763028167
489	0.8142616568	0.07621790628
490	0.8146560931	0.0761369346
491	0.8150255345	0.07606101583
492	0.8154068366	0.07598258016
493	0.8157252891	0.07591701087
494	0.8158750774	0.07588614991
495	0.8162133399	0.07581641128
496	0.8164753894	0.07576234115
497	0.8168580112	0.07568332327
498	0.8172527134	0.07560172405
499	0.8174224253	0.07556661138
